run_id	contig_id	contig_len	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-17	660	1.01e-42	41.850000	227	acc:YP_009174732|putative DNA polymerase [Yellowstone lake phycodnavirus 1]	taxid:1586713|Prasinovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-18	648	1.7	28.571000	63	acc:YP_717909|E1 [Rousettus aegyptiacus papillomavirus 1]	taxid:369584|Psipapillomavirus 1|Psipapillomavirus|Firstpapillomavirinae|Papillomaviridae|Zurhausenvirales|Papovaviricetes|Cossaviricota|Shotokuvirae|Monodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-19	642	8.86e-46	41.089000	202	acc:YP_009001225|ABC transporter [Pithovirus sibericum]	taxid:1450746|Pithovirus|Pithoviruses	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-20	361	1.58e-09	34.000000	100	acc:YP_010803174|ABC transporter type 1 transmembrane domain [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-21	360	0.001	26.957000	115	acc:YP_010657476|ClpP-like protease [Stenotrophomonas phage Philippe]	taxid:2859655|Philippevirus philippe|Philippevirus|Schitoviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-22	328	2.13e-23	77.358000	53	acc:NP_047757|ribonucleotide reductase small subunit homolog [Lymantria dispar multiple nucleopolyhedrovirus]	taxid:10449|Alphabaculovirus lydisparis|Alphabaculovirus|Baculoviridae|Lefavirales|Naldaviricetes	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-23	302	4.74e-13	49.180000	61	acc:YP_009207091|DNA polymerase catalytic subunit [Hawaiian green turtle herpesvirus]	taxid:70564|Scutavirus chelonidalpha5|Scutavirus|Alphaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-24	215	7.96e-05	40.541000	37	acc:YP_611056|DNA polymerase [Antheraea pernyi nucleopolyhedrovirus]	taxid:161494|Alphabaculovirus anpernyi|Alphabaculovirus|Baculoviridae|Lefavirales|Naldaviricetes	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-25	204	1.86e-09	43.939000	66	acc:YP_009388514|DNA polymerase catalytic subunit [Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota]	taxid:2022783|Bossavirus delphinidgamma1|Bossavirus|Gammaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-26	179	0.059	46.154000	26	acc:YP_009173654|ATP-dependent Lon protease [Chrysochromulina ericina virus]	taxid:455364|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag01AD01_ATCACG_L005_R2	041215Madag01AD01_ATCACG_L005_R2_cap3_Contig-27	161	0.002	46.875000	32	acc:YP_010777125|putative rab-related GTPase [Acanthamoeba polyphaga mimivirus]	taxid:212035|Mimivirus bradfordmassiliense|Mimivirus|Megamimivirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-29
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-1	2677	0.77	27.184000	103	acc:YP_009173600|repeat containing protein [Chrysochromulina ericina virus]	taxid:455364|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-2	2578	8.69e-27	33.333000	225	acc:YP_009052380|ABC transporter [Aureococcus anophagefferens virus]	taxid:1474867|Kratosvirus quantuckense|Kratosvirus|Schizomimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-3	2376	1.8	41.818000	55	acc:YP_009814425|nicotinamide-nucleotide adenylyltransferase [Lactobacillus phage Bromius]	taxid:2315485|Harbinvirus bromius|Harbinvirus|Herelleviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-4	1783	0.72	28.704000	108	acc:YP_010359182|hypothetical protein M1M48_gp50 [uncultured phage cr91_1]	taxid:2986403|Drivevirus gastrointestinalis|Drivevirus|Crudevirinae|Intestiviridae|Crassvirales|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-5	1665	2.57e-30	23.230000	452	acc:NP_046572|ABC transporter [Bacillus phage SPBc2]	taxid:2932878|Spbetavirus SPbeta|Spbetavirus|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-6	1520	1.77e-48	33.542000	319	acc:YP_009949256|signal recognition particle protein, partial [Escherichia phage 500465-1]	taxid:2716351|Wadgaonvirus wv5004651|Wadgaonvirus|Peduoviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-7	1242	0.55	32.812000	64	acc:YP_007969877|protein 2A2 [avihepatovirus A1]	taxid:1006061|Avihepatovirus A|Avihepatovirus|Paavivirinae|Picornaviridae|Picornavirales|Pisoniviricetes|Pisuviricota|Orthornavirae|Riboviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-8	1161	4.21e-65	48.996000	249	acc:YP_010803678|ABC transporter [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-9	1062	1.33e-38	46.358000	151	acc:YP_010802132|GTP binding nuclear protein Ran [Acanthamoeba castellanii medusavirus]	taxid:2080449|Viruses	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-10	1004	4.94e-56	41.860000	258	acc:YP_010803544|RNAse l inhibitor RLI1 [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-11	998	1.51e-52	33.987000	306	acc:YP_010803678|ABC transporter [Fadolivirus algeromassiliense]	taxid:3060017|Fadolivirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-12	946	0.25	26.531000	98	acc:YP_009408048|Late transcription factor (VLTF-3) [Eptesipox virus]	taxid:1329402|Vespertilionpoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-13	715	1.26e-52	47.475000	198	acc:YP_009052194|translation elongation factor [Aureococcus anophagefferens virus]	taxid:1474867|Kratosvirus quantuckense|Kratosvirus|Schizomimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-14	713	5.22e-51	45.963000	161	acc:YP_010085638|guanylate kinase [Akhmeta virus]	taxid:2200830|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-15	572	6.28e-23	36.612000	183	acc:YP_010778212|multidrug export ATPase/permease [Bodo saltans virus]	taxid:2024608|Theiavirus salishense|Theiavirus|Klosneuvirinae|Mimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-16	494	0.041	38.298000	47	acc:YP_010114824|hypothetical protein KNV77_gp006 [Klebsiella phage vB_KpnP_P184]	taxid:2806547|Efbeekayvirus P184|Efbeekayvirus|Schitoviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-17	454	2.62e-42	53.125000	128	acc:YP_009552323|042L [Cherax quadricarinatus iridovirus]	taxid:2035708|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-18	452	0.039	29.752000	121	acc:YP_010090730|thymidylate kinase [Escherichia phage EcS1]	taxid:2083276|Kagamiyamavirus ecs1|Kagamiyamavirus|Tevenvirinae|Straboviridae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-19	369	0.12	25.714000	70	acc:YP_009816263|MAG: Sak4-like ssDNA annealing protein [Lactobacillus phage ViSo-2018a]	taxid:2267607|Lidleunavirus ViSo2018a|Lidleunavirus|Tybeckvirinae|Caudoviricetes|Uroviricota|Heunggongvirae|Duplodnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-20	363	3.13e-55	76.316000	114	acc:YP_009407970|Ribonucleotide reductase small subunit [Eptesipox virus]	taxid:1329402|Vespertilionpoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-30
041215Madag02AD02_CGATGT_L005_R1	041215Madag02AD02_CGATGT_L005_R1_cap3_Contig-21	345	4.06e-26	75.862000	58	acc:NP_047757|ribonucleotide reductase small subunit homolog [Lymantria dispar multiple nucleopolyhedrovirus]	taxid:10449|Alphabaculovirus lydisparis|Alphabaculovirus|Baculoviridae|Lefavirales|Naldaviricetes	2024-06-30
