run_id	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen.sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed	folder
24017_09_S29_L005_R1_001	2	0.68	Herpes_UL19Cterm	3.77e-05	100	48 / 51	2	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
24017_09_S29_L005_R1_001	1	3.7	Herpes_TER1	1.4e-06	100	51 / 51	1	MZ327301.1|UNVERIFIED: Mutant Human betaherpesvirus 5 genomic sequence	taxid:83334|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
26023_12_S26_L005_R1_001	1	0.028	Herpes_UL5	6.32e-05	100	51 / 51	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
26137_12_S34_L006_R1_001	1	7.2	NCLDV_ssuRiboReduc	0.008	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-05	150001
26665_12_S32_L006_R1_001	1	0.13	Herpes_UL19Cterm	2.44e-05	100	51 / 51	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
26975_10-11_S38_L007_R1_001	2	0.15	Herpes_UL5	0.000189	100	48 / 51	2	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
26975_10-11_S38_L007_R1_001	1	0.16	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-05	150001
26975_10-11_S38_L007_R1_001	1	0.21	NCLDV_ssuRiboReduc	0.003	100	48 / 51	1	NC_028110.1|Yellowstone lake phycodnavirus 2 DNA, complete genome, isolate: 2	taxid:1586714|Prasinovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-05	150001
27870_10_S28_L005_R1_001	6	0.16	Herpes_UL5	4.98e-06	100	51 / 51	6	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
27870_10_S28_L005_R1_001	1	0.28	Herpes_UL5	0.00039	100	51 / 51	1	NC_003521.1|Panine herpesvirus 2 strain Heberling, complete genome	taxid:188763|Cytomegalovirus paninebeta2|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
28290_11_S18_L003_R1_001	1	0.36	NCLDV_ssuRiboReduc	0.002	88.2	51 / 51	1	NC_013668.3|Anguillid herpesvirus 1, complete genome	taxid:150286|Cyvirus anguillidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
29051_09_S39_L007_R1_001	1	5.7	NCLDV_ssuRiboReduc	0.25	88.2	51 / 51	1	NC_019491.1|Cyprinid herpesvirus 1 strain NG-J1, complete genome	taxid:317858|Cyvirus cyprinidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
29051_09_S39_L007_R1_001	1	6.4	Herpes_UL19Nterm	0.000425	100	48 / 51	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
3442_13_S21_L004_R1_001	1	0.0071	Herpes_POLcore	0.000425	100	51 / 51	1	NC_002794.1|Tupaiid herpesvirus 1, complete genome	taxid:10397|Quwivirus tupaiidbeta1|Quwivirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
5348_13_S33_L006_R1_001	1	6.5	Herpes_UL6	2.44e-05	100	48 / 51	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
6669_12_S23_L004_R1_001	1	0.0059	Herpes_TER1	6.32e-05	100	51 / 51	1	NC_003521.1|Panine herpesvirus 2 strain Heberling, complete genome	taxid:188763|Cytomegalovirus paninebeta2|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
6669_12_S23_L004_R1_001	1	4.8	Herpes_UL19Cterm	0.000584	100	51 / 51	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
7121_11_S28_L005_R1_001	1	0.28	Herpes_UL19Cterm	3.19e-05	100	51 / 51	1	NC_003521.1|Panine herpesvirus 2 strain Heberling, complete genome	taxid:188763|Cytomegalovirus paninebeta2|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
7257_11_S32_L006_R1_001	2	0.72	Herpes_UL19Cterm	5.87e-05	100	51 / 51	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
759_12_S31_L006_R1_001	1	2.7	Herpes_POLcore	0.000584	100	48 / 51	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
759_12_S31_L006_R1_001	1	5.4	Herpes_TER1	6.32e-05	100	48 / 51	1	NC_003521.1|Panine herpesvirus 2 strain Heberling, complete genome	taxid:188763|Cytomegalovirus paninebeta2|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
9919_10_S36_L006_R1_001	1	0.025	Herpes_POLcore	4.6e-05	94.1	51 / 51	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
9988_11_S33_L006_R1_001	2	7.5	Herpes_UL5	1.29e-05	100	54 / 57	1	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-05	150001
21320_13_S5_L002_R1_001	1	5.5	NCLDV_ssuRiboReduc	0.005	100	48 / 51	1	NC_027213.1|Raccoonpox virus, complete genome	taxid:10256|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	160149
21459_10_S5_R1_001	1	7.5	NCLDV_ssuRiboReduc	0.068	92.9	42 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	160149
25994_11_S80_L007_R1_001	1	5	NCLDV_ssuRiboReduc	0.000309	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	160149
25994_11_S80_L008_R1_001	1	1.6	NCLDV_ssuRiboReduc	0.002	94.1	51 / 51	1	NC_002642.1|Yaba-like disease virus, complete genome	taxid:132475|Tanapox virus|Yatapoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	160149
6994_13_S6_L002_R1_001	2	0.19	Herpes_TER1	1.29e-05	100	51 / 51	2	NC_006273.2|Human herpesvirus 5 strain Merlin, complete genome	taxid:10359|Cytomegalovirus humanbeta5|Cytomegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-06	160149
18930_13_S7_L002_R1_001	1	0.26	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	160271
25271_14_S13_L003_R1_001	1	3.3	NCLDV_ssuRiboReduc	0.000425	87.5	48 / 51	1	NC_002642.1|Yaba-like disease virus, complete genome	taxid:132475|Tanapox virus|Yatapoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	160271
1009_13_S15_R1_001	1	3.8	NCLDV_ssuRiboReduc	0.014	93.8	48 / 51	1	NC_019491.1|Cyprinid herpesvirus 1 strain NG-J1, complete genome	taxid:317858|Cyvirus cyprinidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-06	170238
11207_10_S7_R1_001	3	0.42	NCLDV_ssuRiboReduc	0.000309	94.1	51 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
14591_14_S19_R1_001	1	3.3	NCLDV_ssuRiboReduc	0.003	94.1	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
15492_12_S10_R1_001	1	0.041	NCLDV_ssuRiboReduc	0.000309	94.1	51 / 51	1	NC_019491.1|Cyprinid herpesvirus 1 strain NG-J1, complete genome	taxid:317858|Cyvirus cyprinidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-06	170238
15492_12_S10_R1_001	1	4.8	NCLDV_ssuRiboReduc	0.064	87.5	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
15577_16_S25_R1_001	1	2.4	NCLDV_ssuRiboReduc	0.014	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
16311_10_S14_R1_001	1	4	NCLDV_ssuRiboReduc	0.01	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
19265_16_S23_R1_001	1	7.9	NCLDV_ssuRiboReduc	0.000802	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
22447_10_S1_R1_001	1	4.5	NCLDV_ssuRiboReduc	0.026	88.2	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	170238
22447_10_S1_R1_001	1	9.3	NCLDV_ssuRiboReduc	0.000802	93.8	48 / 51	1	FN429076.1|Emiliania huxleyi virus 99B1 draft genome sequence	taxid:187397|Coccolithovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	170238
25635_10_S3_R1_001	1	1.3	NCLDV_ssuRiboReduc	0.01	82.4	51 / 51	1	NC_019491.1|Cyprinid herpesvirus 1 strain NG-J1, complete genome	taxid:317858|Cyvirus cyprinidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-06	170238
25635_10_S3_R1_001	3	1.7	NCLDV_ssuRiboReduc	0.01	88.2	51 / 51	3	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
28516_09_S2_R1_001	1	3.7	NCLDV_ssuRiboReduc	0.001	93.8	48 / 51	1	NC_003494.1|Infectious spleen and kidney necrosis virus, complete genome	taxid:180170|Megalocytivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	170238
28516_09_S2_R1_001	2	6.5	NCLDV_ssuRiboReduc	0.018	88.2	51 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	170238
29067_15_S24_R1_001	2	1.2	NCLDV_ssuRiboReduc	0.002	94.1	51 / 52	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
29067_15_S24_R1_001	1	1.8	NCLDV_ssuRiboReduc	0.005	88.2	51 / 51	1	NC_036582.1|Flamingopox virus FGPVKD09, complete genome	taxid:2059380|Avipoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
29765_12_S5_R1_001	1	9	NCLDV_ssuRiboReduc	0.13	81.2	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
31858_13_S21_R1_001	1	1.2	NCLDV_ssuRiboReduc	0.003	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
5508_12_S9_R1_001	1	2.4	NCLDV_ssuRiboReduc	0.019	87.5	48 / 51	1	NC_040681.1|Bufonid herpesvirus 1 strain FO1_2015, complete genome	taxid:2282206|Batrachovirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-06	170238
5508_12_S9_R1_001	1	3.7	NCLDV_ssuRiboReduc	0.002	94.1	51 / 51	1	NC_005179.1|Yaba monkey tumor virus, complete genome	taxid:38804|Yatapoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
5508_12_S9_R1_001	1	5	NCLDV_ssuRiboReduc	0.000584	94.1	51 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
6918_11_S4_R1_001	1	0.7	NCLDV_ssuRiboReduc	0.007	87.5	48 / 51	1	NC_036582.1|Flamingopox virus FGPVKD09, complete genome	taxid:2059380|Avipoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
6918_11_S4_R1_001	1	2.4	NCLDV_ssuRiboReduc	0.064	87.5	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-06	170238
10014-14_R1	1	0.16	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
10014-14_R2	3	3.8	NCLDV_ssuRiboReduc	0.000802	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
10014-14_R2	1	6.8	NCLDV_ssuRiboReduc	0.007	82.4	51 / 51	1	NC_013668.3|Anguillid herpesvirus 1, complete genome	taxid:150286|Cyvirus anguillidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-08	180199
10132-18_R1	1	0.15	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
10132-18_R1	1	0.83	NCLDV_ssuRiboReduc	0.005	93.3	45 / 51	1	NC_019491.1|Cyprinid herpesvirus 1 strain NG-J1, complete genome	taxid:317858|Cyvirus cyprinidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-08	180199
